"","term_id","term_name","source","adjust_pvalue","genes_associated_in_db","gene_overlap","overlap_ratio","pvalue","common_genes","module"
"31022","C0855095","Small Lymphocytic Lymphoma","ORPHANET",0.0404825474121216,10,2,"(2/10)",0.00176011075704877,"P2RX7, IKZF3","blue4"
"41021","C1868683","B-CELL MALIGNANCY, LOW-GRADE","ORPHANET",0.0404825474121216,10,2,"(2/10)",0.00176011075704877,"P2RX7, IKZF3","blue4"
"1427","C1260899","Anemia, Diamond-Blackfan","GENOMICS_ENGLAND",0.0178768582307201,29,3,"(3/29)",0.00127691844505143,"RPS26, RPS27, RPL23","lightcyan"
"1432","C1855923","Hyperphosphatasia with Mental Retardation","ORPHANET",0.0179461668218926,7,2,"(2/7)",0.00112163542636829,"PIGL, PGAP3","lightcyan"
"1146","C0677776","Hereditary Breast and Ovarian Cancer Syndrome","ORPHANET",0.00327873258325022,14,3,"(3/14)",0.000149033299238647,"TP53, RAD50, CHEK2","darkseagreen3"
"1140","C0009402","Colorectal Carcinoma","GENOMICS_ENGLAND",0.00558083004053075,18,3,"(3/18)",0.00032828412003122,"POLD1, TP53, CHEK2","darkseagreen3"
"21033","C0029463","Osteosarcoma","GENOMICS_ENGLAND",0.00971897370902577,5,2,"(2/5)",0.000571704335825046,"TP53, CHEK2","darkseagreen3"
"11062","C3496069","cocaine use","PSYGENET",0.00374910534585326,11,2,"(2/11)",0.000937276336463315,"CYP11A1, STARD3","lavenderblush1"
"11034","C0020305","Hydrops Fetalis","GENOMICS_ENGLAND",0.0371858584098231,19,2,"(2/19)",0.00286045064690947,"GUSB, LIPA","lavenderblush1"
"11008","C0007194","Hypertrophic Cardiomyopathy","CLINGEN",0.023956689872236,31,2,"(2/31)",0.011978344936118,"TPM1, PRKAG2","deeppink"
"11021","C0028326","Noonan Syndrome","CLINGEN",0.00580731568589024,20,3,"(3/20)",0.000446716591222326,"PPP1CB, RASA2, RRAS2","salmon4"
"114","HP:0040196","Mild microcephaly","HPO",0.0261865868376465,11,3,"(3/11)",4.04738590999172e-05,"COG6, LARP7, THOC6","plum"
